model,n_trials,accuracy,precision,recall,f1,auroc
logistic,746,0.9973190348525469,1.0,0.9903846153846154,0.9951690821256038,1.0
hist_gradient_boosting,746,0.9705093833780161,1.0,0.8942307692307693,0.9441624365482234,0.9970152988275665
random_forest,746,0.9705093833780161,1.0,0.8942307692307693,0.9441624365482234,0.9992136116671433
