method,event_f1_ci_low,event_f1_ci_high,event_recall_ci_low,event_recall_ci_high,false_alarms_per_hour_ci_low,false_alarms_per_hour_ci_high,median_latency_s_ci_low,median_latency_s_ci_high
full_event_hgb,1.0,1.0,1.0,1.0,0.0,0.0,0.35000000000000003,0.5674999999999999
full_event_extratrees,0.9454545454545454,1.0,1.0,1.0,0.0,35.489556918408226,0.33299999999999996,0.5839999999999999
full_event_logistic,0.758594566353187,0.9491525423728815,0.7333333333333333,0.96875,10.110518702691513,92.66846497936776,0.33399999999999996,0.7010000000000003
