f1,precision,recall,balanced_accuracy,false_alert_rate,tn,fp,fn,tp,method,threshold,seed,severity
0.7955244755244755,0.7210953346855984,0.8870867124142233,0.8146773768256683,0.25773195876288657,1584,550,181,1422,Accelerometer Only,0.41000000000000003,0,0.2
0.8563845473311708,0.8120805369127517,0.9058016219588272,0.8741754126663864,0.15745079662605435,1798,336,151,1452,Mean Late Fusion,0.44,0,0.2
0.870602630773937,0.8541416566626651,0.8877105427323768,0.8869199386576598,0.11387066541705718,1891,243,180,1423,Max OR Fusion,0.7100000000000001,0,0.2
0.853566958698373,0.8562460765850597,0.8509045539613225,0.8717971692018421,0.10731021555763824,1905,229,239,1364,Min Agreement Fusion,0.34,0,0.2
0.8705216844751729,0.8771374287523749,0.8640049906425452,0.8865479498667271,0.09090909090909091,1940,194,218,1385,Product Agreement Fusion,0.26,0,0.2
0.8731182795698925,0.8601694915254238,0.8864628820960698,0.8891077297078287,0.10824742268041238,1903,231,182,1421,Naive Independence,0.8200000000000001,0,0.2
0.852589641434263,0.9112845990063875,0.8009981285090455,0.8712113416678311,0.05857544517338332,2009,125,319,1284,Rule AND Tuned,0.49,0,0.2
0.870602630773937,0.8541416566626651,0.8877105427323768,0.8869199386576598,0.11387066541705718,1891,243,180,1423,Rule OR Tuned,0.7100000000000001,0,0.2
0.887536046139058,0.9123847167325428,0.8640049906425452,0.9008403584890327,0.06232427366447985,2001,133,218,1385,Calibrated Logistic Fusion,0.68,0,0.2
0.9000969932104753,0.934228187919463,0.8683718028696195,0.9112243269268434,0.04592314901593252,2036,98,211,1392,Temporal Logistic Fusion,0.72,0,0.2
0.8935081547809401,0.9166666666666666,0.8714909544603868,0.9059891510821148,0.05951265229615745,2007,127,206,1397,Temporal Extra Trees,0.52,0,0.2
0.8896573404589752,0.8967046894803549,0.8827199001871491,0.9031687598405287,0.07638238050609185,1971,163,188,1415,Temporal Random Forest,0.44,0,0.2
0.8900062853551226,0.8967701076630779,0.8833437305053026,0.9034806749996054,0.07638238050609185,1971,163,187,1416,Temporal HistGradientBoosting,0.37,0,0.2
0.8727510631337912,0.9174690508940853,0.8321896444167186,0.8879786085251353,0.056232427366447985,2014,120,269,1334,Camera Only,0.67,0,0.4
