severity,method,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,balanced_accuracy_mean,balanced_accuracy_std,false_alert_rate_mean,false_alert_rate_std
0.0,Temporal Logistic Fusion,0.8627250659115757,0.051078659246828154,0.8950282631591773,0.06701611800168493,0.8353038273400653,0.05702450148385909,0.8914546790487139,0.028894979368286937,0.052394469242637576,0.020738799129378642
0.0,Temporal Random Forest,0.8515673640284376,0.06149125002413698,0.8600601625769541,0.10289148525515539,0.8495610822330242,0.04009914410260601,0.8878815178009349,0.027537416552447482,0.07379804663115433,0.03873052014675444
0.0,Calibrated Logistic Fusion,0.8506571225487273,0.05913672132580615,0.8875898405488332,0.10177603258493943,0.8238823988691258,0.05181007508490258,0.8840085522724461,0.02776918468780919,0.055865294324233525,0.03878537576557373
0.0,Temporal Extra Trees,0.8498145431081887,0.06245006134355391,0.864179974442804,0.10791345133095592,0.8431415278254993,0.04060124532572003,0.8862847885134497,0.027436133908221347,0.07057195079859993,0.04164544608892298
0.0,Temporal HistGradientBoosting,0.8473508213915603,0.061604134640640774,0.8465743511523973,0.10539574098333566,0.8562689001225634,0.04527732808858083,0.8860600841550739,0.02648741989041696,0.08414873181241579,0.041828048059455475
0.0,Max OR Fusion,0.8467500983558034,0.04779087843737364,0.8581838547127727,0.07134808734357048,0.8392229361773775,0.05303162850889269,0.881326763507442,0.02640789392581417,0.07656940916249388,0.029285278556005257
0.0,Rule OR Tuned,0.8467500983558034,0.04779087843737364,0.8581838547127727,0.07134808734357048,0.8392229361773775,0.05303162850889269,0.881326763507442,0.02640789392581417,0.07656940916249388,0.029285278556005257
0.0,Naive Independence,0.8462285344494689,0.05313930937501559,0.8431191266623635,0.08379334668089955,0.854735295594202,0.053352689009896155,0.8833779607353771,0.026463960241349834,0.08797937412344795,0.032461587031394706
0.0,Camera Only,0.8419188564587559,0.06490534263195614,0.8898405867434811,0.11770609158885002,0.8099586414476823,0.057662302846402405,0.8777100449433993,0.02931369920734167,0.05453855156088372,0.0514487001845735
0.0,Mean Late Fusion,0.8327280196594987,0.05377815844957758,0.7983653632635554,0.08244772882576304,0.8754274271926459,0.04893377958355399,0.8758459795955014,0.022154685575868215,0.12373546800164315,0.03618124537997819
0.0,Product Agreement Fusion,0.8170463438594779,0.053566240147243316,0.8263604597695963,0.09076779284764253,0.8150537411737391,0.06010992947752845,0.8595838444743581,0.024968892903409087,0.09588605222502286,0.043519848875697015
0.0,Min Agreement Fusion,0.7901561224875289,0.057912235312795754,0.799602953203374,0.1079835692268868,0.7951309910969575,0.07607158128617184,0.8404468724269634,0.0244875634291203,0.11423724624303086,0.05328812583424459
0.0,Rule AND Tuned,0.7673467936660153,0.062466894771040525,0.9261283845147179,0.047504982332275715,0.6615760612820685,0.09433799740211649,0.8155552564529586,0.03992551787636645,0.030465548376151407,0.01893917793459431
0.0,Accelerometer Only,0.740552940504518,0.057447494951369533,0.7425197085315655,0.12434203734657306,0.7671086834263213,0.10778816002458846,0.802451465081214,0.023583501607976343,0.16220575326389347,0.09053852508402338
