method,event_f1_ci_low,event_f1_ci_high,event_recall_ci_low,event_recall_ci_high,false_alarms_per_hour_ci_low,false_alarms_per_hour_ci_high,median_latency_s_ci_low,median_latency_s_ci_high
raw_temporal_extratrees,0.8332692307692307,0.9818341307814991,0.8214285714285714,1.0,0.0,71.55223298997664,0.4675,0.7005
raw_temporal_hgb,0.7857142857142856,0.9538461538461539,0.8928571428571429,1.0,28.960940910710228,137.5813976915744,0.33399999999999985,0.5680000000000001
raw_temporal_rf,0.7732982456140352,0.9577464788732395,0.8846153846153846,1.0,22.930258008484493,143.80302443723608,0.367,0.5505
raw_temporal_logistic,0.6557377049180327,0.8823720397249808,0.6896012931034483,0.9629629629629629,41.48652419369196,162.23167103221192,0.35050000000000003,0.7009999999999998
