tp,fp_episodes,fn,event_precision,event_recall,event_f1,false_alarms_per_hour,median_latency_s,p90_latency_s,detected_falls,frame_precision,frame_recall,frame_f1,method
28.0,3.0,2.0,0.9032258064516129,0.9333333333333333,0.9180327868852459,33.30629766578364,0.5675,0.8315999999999999,28.0,0.8980099502487562,0.4011111111111111,0.554531490015361,raw_temporal_extratrees
29.0,7.0,1.0,0.8055555555555556,0.9666666666666667,0.8787878787878789,77.71469455349515,0.534,0.7605999999999999,29.0,0.8737060041407867,0.4688888888888889,0.6102675343456254,raw_temporal_hgb
29.0,7.0,1.0,0.8055555555555556,0.9666666666666667,0.8787878787878789,77.71469455349515,0.43300000000000005,0.6230000000000002,29.0,0.9205702647657841,0.5022222222222222,0.6498921639108555,raw_temporal_rf
25.0,9.0,5.0,0.7352941176470589,0.8333333333333334,0.78125,99.91889299735091,0.6,0.9214000000000002,25.0,0.8297872340425532,0.26,0.39593908629441626,raw_temporal_logistic
